iter	RMSE
191	4.812340486
192	4.806402747
193	4.801521788
194	4.797601172
195	4.792694629
196	4.789794613
197	4.785367055
198	4.780376856
199	4.776691261
200	4.773470753
201	4.77207327
202	4.767347177
203	4.763983068
204	4.761588849
205	4.758558086
206	4.753678804
207	4.746510889
208	4.744840601
209	4.741702222
210	4.739352853
211	4.735539287
212	4.730726751
213	4.726416092
214	4.721293082
215	4.718443695
216	4.711627962
217	4.709790764
218	4.706913073
219	4.703846389
220	4.701001135
221	4.700380864
222	4.695837486
223	4.691242996
224	4.690284609
225	4.68827119
226	4.686922425
227	4.686085874
228	4.683230741
229	4.6773487
230	4.671462906
231	4.664799601
232	4.660979386
233	4.656281279
234	4.651997094
235	4.650151977
236	4.648478046
237	4.646364602
238	4.642635873
239	4.640860821
240	4.639446822
241	4.637120072
242	4.633769267
243	4.630491517
244	4.627813333
245	4.622496304
246	4.618979301
247	4.616563458
248	4.614759385
249	4.61251363
250	4.608796693
251	4.60847774
252	4.605195659
253	4.60103766
254	4.599325598
255	4.597012808
256	4.594161533
257	4.592197259
258	4.58952828
259	4.585816572
260	4.582934052
261	4.582234842
262	4.57571562
263	4.571197349
264	4.56723703
265	4.560335567
266	4.554709345
267	4.552806306
268	4.550766241
269	4.549216045
270	4.547687452
271	4.545642435
272	4.543930359
273	4.541029943
274	4.537781449
275	4.53066128
276	4.526763956
277	4.522036004
278	4.515307629
279	4.51109143
280	4.508233494
281	4.502555629
282	4.500081355
283	4.495281743
284	4.492138869
285	4.491708261
286	4.489398865
287	4.485796373
288	4.479542205
289	4.475986993
290	4.468661855
291	4.463785664
292	4.460445831
293	4.45692492
294	4.454031688
295	4.451672391
296	4.45031553
297	4.446782666
298	4.444369689
299	4.44411683
300	4.440876943
301	4.439336453
302	4.436666901
303	4.433043336
304	4.431419305
305	4.428859646
306	4.424552441
307	4.422706391
308	4.421427994
309	4.418733158
310	4.415656941
311	4.410747417
312	4.408126521
313	4.407843853
314	4.405219398
315	4.402708465
316	4.40104971
317	4.400830038
318	4.39784288
319	4.393741845
320	4.393425936
321	4.390505974
322	4.390305136
323	4.38568203
324	4.383057135
325	4.380662684
326	4.37805727
327	4.373708319
328	4.36887921
329	4.367895929
330	4.362140573
331	4.361931924
332	4.359656377
333	4.354281355
334	4.348589447
335	4.346355698
336	4.343894047
337	4.341561356
338	4.338869061
339	4.333720063
340	4.330892223
341	4.328311474
342	4.324580133
343	4.323354432
344	4.323159553
345	4.318639682
346	4.312712208
347	4.311461062
348	4.311178356
349	4.311102505
350	4.310232308
351	4.305128197
352	4.304595496
353	4.3004992
354	4.297581524
355	4.297355825
356	4.295758715
357	4.292500657
358	4.290797586
359	4.286410608
360	4.280278245
361	4.279941283
362	4.274426275
363	4.273567658
364	4.269488271
365	4.266838205
366	4.263456509
367	4.260360204
368	4.255120549
369	4.252582211
370	4.247857931
371	4.245288911
372	4.24048515
373	4.2378365
374	4.236751063
375	4.233240093
376	4.230358421
377	4.225853583
378	4.224702126
379	4.224361982
380	4.223787954
381	4.22144054
382	4.217739335
383	4.215611665
384	4.210236863
385	4.208454294
386	4.207446501
387	4.204985442
388	4.202796622
389	4.199774004
390	4.199458358
391	4.19751254
392	4.195201346
393	4.190593508
394	4.187212054
395	4.184984466
396	4.182832144
397	4.179752812
398	4.17878934
399	4.174548229
400	4.168872556
401	4.163926494
402	4.159485076
403	4.155926102
404	4.153540115
405	4.150983044
406	4.146539132
407	4.144869174
408	4.142825962
409	4.142467378
410	4.141800768
411	4.140107084
412	4.136243196
413	4.133618439
414	4.131053025
415	4.128379975
416	4.127068571
417	4.125969877
418	4.123893633
419	4.119643722
420	4.11465686
421	4.111565986
422	4.106322452
423	4.104222175
424	4.103008002
425	4.099176337
426	4.096525716
427	4.094967724
428	4.094683584
429	4.091096563
430	4.089178677
431	4.085335077
432	4.084852122
433	4.080322952
434	4.077449519
435	4.076568374
436	4.076071793
437	4.075027644
438	4.07020837
439	4.06833694
440	4.063936568
441	4.061734926
442	4.060815619
443	4.056407489
444	4.05238936
445	4.049685254
446	4.045162016
447	4.042955482
448	4.041467663
449	4.038920476
450	4.036694383
451	4.034999007
452	4.031928018
453	4.028718143
454	4.027401978
455	4.025930598
456	4.021074523
457	4.020268486
458	4.017986361
459	4.014814804
460	4.009704796
461	4.008440457
462	4.004854849
463	4.000898028
464	3.996617985
465	3.995443319
466	3.990771995
467	3.989249359
468	3.986599538
469	3.985628919
470	3.985086112
471	3.98466839
472	3.984233894
473	3.981855845
474	3.978684264
475	3.974361269
476	3.972074049
477	3.97191982
478	3.969616848
479	3.968533527
480	3.967568753
481	3.966232553
482	3.961522393
483	3.955829553
484	3.954248095
485	3.951922606
486	3.94978202
487	3.949518999
488	3.945431216
489	3.943249086
490	3.941981548
491	3.936600517
492	3.934476885
493	3.93045798
494	3.925977375
495	3.92457993
496	3.919849146
497	3.919681964
498	3.917633027
499	3.916616419
500	3.912896166
501	3.912769674
502	3.909373788
503	3.906706036
504	3.903895664
505	3.902982967
506	3.900905528
507	3.897463465
508	3.895918033
509	3.893921936
510	3.890237934
511	3.887311613
512	3.884869735
513	3.882101231
514	3.88060368
515	3.877726076
516	3.874938145
517	3.874340833
518	3.873105224
519	3.869800236
520	3.867932518
521	3.866666962
522	3.865527652
523	3.861900081
524	3.858502887
525	3.858335097
526	3.855719306
527	3.855137428
